Symbol,Date,Open,High,Low,Close,Volume
APXM,01-Jan-2004,0.70,0.95,0.70,0.95,21000
APXM,06-Jan-2004,0.60,0.60,0.60,0.60,4000
APXM,07-Jan-2004,0.75,0.75,0.75,0.75,3500
APXM,08-Jan-2004,0.90,0.90,0.90,0.90,8000
APXM,09-Jan-2004,1.00,1.00,1.00,1.00,4500
APXM,15-Jan-2004,0.75,1.15,0.75,1.15,113000
APXM,16-Jan-2004,1.35,1.40,1.25,1.35,28500
APXM,19-Jan-2004,1.35,1.40,1.25,1.35,28500
APXM,22-Jan-2004,1.35,1.35,1.25,1.25,1000
APXM,26-Jan-2004,1.40,1.50,1.30,1.40,30500
APXM,27-Jan-2004,1.30,1.30,1.30,1.30,3000
APXM,28-Jan-2004,1.30,1.30,1.30,1.30,3000
APXM,29-Jan-2004,1.45,1.50,1.45,1.45,6000
APXM,30-Jan-2004,1.40,1.40,1.40,1.40,2500
APXM,10-Feb-2004,1.35,1.35,1.35,1.35,1000
APXM,13-Feb-2004,1.30,1.30,1.30,1.30,5000
APXM,27-Feb-2004,1.20,1.20,1.20,1.20,5000
APXM,03-Mar-2004,1.00,1.00,1.00,1.00,2000
APXM,04-Mar-2004,1.20,1.45,1.20,1.35,21500
APXM,05-Mar-2004,1.40,2.40,1.40,2.35,518500
APXM,08-Mar-2004,2.30,2.30,1.60,1.65,131000
APXM,09-Mar-2004,1.75,2.15,1.75,1.90,64000
APXM,10-Mar-2004,2.00,2.00,1.80,1.80,28000
APXM,11-Mar-2004,1.95,1.95,1.80,1.80,2000
APXM,12-Mar-2004,1.95,1.95,1.85,1.90,2500
APXM,16-Mar-2004,1.85,1.85,1.85,1.85,2000
APXM,17-Mar-2004,1.95,1.95,1.75,1.75,1500
APXM,18-Mar-2004,1.90,1.90,1.85,1.85,6000
APXM,19-Mar-2004,1.90,1.90,1.75,1.75,10500
APXM,22-Mar-2004,1.90,1.95,1.90,1.95,9500
APXM,24-Mar-2004,1.90,1.90,1.90,1.90,20000
APXM,25-Mar-2004,1.90,1.90,1.80,1.80,12000
APXM,26-Mar-2004,1.90,2.20,1.80,2.15,161000
APXM,29-Mar-2004,2.25,2.45,2.10,2.25,204500
APXM,30-Mar-2004,2.55,2.55,2.20,2.35,136500
APXM,31-Mar-2004,2.45,2.50,2.35,2.35,97000
APXM,01-Apr-2004,2.40,2.45,2.40,2.40,13500
APXM,02-Apr-2004,2.50,2.80,2.40,2.65,247500
APXM,05-Apr-2004,2.80,3.25,2.80,3.10,409000
APXM,06-Apr-2004,3.10,3.20,3.00,3.00,131500
APXM,07-Apr-2004,3.10,3.15,3.00,3.05,35500
APXM,08-Apr-2004,3.00,3.00,2.85,2.95,50500
APXM,09-Apr-2004,3.00,3.00,3.00,3.00,46000
APXM,12-Apr-2004,3.00,3.00,2.95,2.95,2500
APXM,13-Apr-2004,2.90,2.95,2.90,2.95,1500
APXM,14-Apr-2004,2.65,2.65,2.65,2.65,11500
APXM,16-Apr-2004,2.95,2.95,2.30,2.30,8500
APXM,19-Apr-2004,2.85,2.85,2.55,2.60,9500
APXM,20-Apr-2004,2.85,2.85,2.65,2.60,1500
APXM,21-Apr-2004,2.70,2.70,2.70,2.60,500
APXM,22-Apr-2004,2.05,2.25,2.05,2.25,8000
APXM,28-Apr-2004,2.00,2.00,2.00,2.00,5000
APXM,06-May-2004,2.00,2.35,2.00,2.00,1500
APXM,10-May-2004,2.00,2.00,2.00,2.00,500
APXM,19-May-2004,2.00,2.00,2.00,2.00,1000
APXM,20-May-2004,2.65,2.65,2.10,2.10,3500
APXM,21-May-2004,2.35,2.50,2.30,2.30,16500
APXM,24-May-2004,2.60,2.80,2.30,2.50,21000
APXM,25-May-2004,2.90,3.10,2.70,2.90,105000
APXM,26-May-2004,3.00,3.15,2.80,2.80,68500
APXM,27-May-2004,3.10,3.10,2.80,2.95,20000
APXM,28-May-2004,3.00,3.00,2.85,2.85,4500
APXM,31-May-2004,2.90,2.90,2.80,2.80,10500
APXM,01-Jun-2004,2.80,2.80,2.70,2.70,1000
APXM,03-Jun-2004,2.50,2.55,2.50,2.55,4500
APXM,04-Jun-2004,2.25,2.25,2.25,2.25,6500
APXM,07-Jun-2004,2.30,2.30,2.30,2.30,5000
APXM,08-Jun-2004,2.35,2.50,2.35,2.50,15500
APXM,09-Jun-2004,2.80,2.80,2.45,2.45,3000
APXM,11-Jun-2004,2.50,2.50,2.50,2.50,2000
APXM,14-Jun-2004,2.30,2.30,2.05,2.05,2500
APXM,15-Jun-2004,2.30,2.40,2.30,2.40,5000
APXM,16-Jun-2004,2.40,2.40,2.40,2.40,6000
APXM,17-Jun-2004,2.75,2.95,2.75,2.85,26000
APXM,22-Jun-2004,2.50,2.50,2.50,2.50,5000
APXM,24-Jun-2004,2.40,2.40,2.40,2.40,1000
APXM,25-Jun-2004,2.70,2.70,2.70,2.70,23500
APXM,06-Jul-2004,2.25,2.25,2.25,2.25,2000
APXM,09-Jul-2004,2.15,2.15,2.15,2.15,500
APXM,13-Jul-2004,2.10,2.10,2.05,2.05,8000
APXM,14-Jul-2004,2.25,2.25,2.25,2.25,2500
APXM,15-Jul-2004,2.15,2.40,2.15,2.40,20000
APXM,16-Jul-2004,2.40,2.40,2.40,2.40,5000
APXM,19-Jul-2004,2.05,2.05,2.05,2.05,3000
APXM,28-Jul-2004,2.05,2.05,1.95,1.95,1000
APXM,29-Jul-2004,2.00,2.00,2.00,2.00,2000
APXM,03-Aug-2004,1.75,1.75,1.75,1.75,5000
APXM,04-Aug-2004,1.85,1.85,1.85,1.85,2000
APXM,05-Aug-2004,1.80,1.80,1.80,1.80,3000
APXM,17-Aug-2004,1.85,1.85,1.80,1.85,5000
APXM,18-Aug-2004,2.00,2.00,1.90,1.95,17500
APXM,20-Aug-2004,2.00,2.00,2.00,2.00,23500
APXM,27-Aug-2004,1.85,1.85,1.85,1.85,500
APXM,30-Aug-2004,2.00,2.00,2.00,2.00,1000
APXM,01-Sep-2004,1.85,1.85,1.85,1.85,500
APXM,03-Sep-2004,2.00,2.00,1.85,1.85,1000
APXM,07-Sep-2004,1.70,1.70,1.70,1.70,10000
APXM,20-Sep-2004,1.80,1.80,1.80,1.80,1000
APXM,23-Sep-2004,1.65,1.65,1.65,1.65,1000
APXM,27-Sep-2004,2.00,2.00,2.00,2.00,5000
APXM,04-Oct-2004,2.85,2.85,2.00,2.00,10500
APXM,05-Oct-2004,2.00,2.00,2.00,2.00,1500
APXM,06-Oct-2004,1.90,1.90,1.90,1.90,2000
APXM,07-Oct-2004,1.90,2.15,1.90,2.05,48000
APXM,08-Oct-2004,2.05,3.00,2.00,2.45,237500
APXM,11-Oct-2004,2.30,2.65,2.30,2.35,18500
APXM,12-Oct-2004,2.30,2.50,2.10,2.10,25500
APXM,13-Oct-2004,2.10,2.10,2.10,2.10,21500
APXM,14-Oct-2004,2.15,2.15,2.10,2.10,10500
APXM,15-Oct-2004,2.10,2.10,2.00,2.00,11500
APXM,19-Oct-2004,2.00,2.00,2.00,2.00,10000
APXM,20-Oct-2004,1.90,1.90,1.90,1.90,3000
APXM,22-Oct-2004,1.90,2.05,1.90,2.05,1500
APXM,25-Oct-2004,2.05,2.05,2.00,2.00,1000
APXM,26-Oct-2004,1.80,2.00,1.80,1.80,17500
APXM,03-Nov-2004,1.80,1.80,1.70,1.70,1000
APXM,04-Nov-2004,2.25,2.25,1.80,2.00,5000
APXM,12-Nov-2004,2.00,2.00,2.00,2.00,500
APXM,18-Nov-2004,1.90,1.90,1.90,1.90,500
APXM,19-Nov-2004,2.25,2.25,2.25,2.25,7500
APXM,22-Nov-2004,2.10,2.30,1.95,2.00,42500
APXM,23-Nov-2004,2.00,2.05,1.90,1.95,19000
APXM,25-Nov-2004,1.90,1.90,1.90,1.90,16000
APXM,26-Nov-2004,1.90,1.90,1.90,1.90,1000
APXM,30-Nov-2004,1.90,2.10,1.90,2.00,10000
APXM,01-Dec-2004,2.10,2.50,2.10,2.45,140000
APXM,02-Dec-2004,2.45,2.75,2.35,2.40,243500
APXM,03-Dec-2004,2.50,2.50,2.40,2.45,24000
APXM,07-Dec-2004,2.25,2.25,2.25,2.25,5000
APXM,08-Dec-2004,2.25,2.25,2.25,2.25,500
APXM,09-Dec-2004,2.25,2.25,2.25,2.25,500
APXM,14-Dec-2004,2.00,2.40,2.00,2.30,20500
APXM,15-Dec-2004,2.30,2.30,2.30,2.30,500
APXM,16-Dec-2004,2.30,2.30,2.30,2.30,6500
APXM,21-Dec-2004,2.30,2.30,2.30,2.30,1000
APXM,22-Dec-2004,2.30,2.30,2.30,2.30,500
APXM,24-Dec-2004,2.30,2.30,2.30,2.30,500
APXM,27-Dec-2004,2.30,2.30,2.30,2.30,500
APXM,29-Dec-2004,2.30,2.40,2.10,2.10,32500
APXM,30-Dec-2004,2.30,2.30,2.25,2.25,3500
APXM,31-Dec-2004,2.00,2.00,2.00,2.00,3000
APXM,03-Jan-2005,2.00,2.00,2.00,2.00,1000
APXM,04-Jan-2005,2.00,2.00,2.00,2.00,1500
APXM,06-Jan-2005,2.00,2.50,2.00,2.25,29000
APXM,07-Jan-2005,2.25,2.25,2.25,2.25,25000
APXM,10-Jan-2005,2.25,2.25,2.25,2.25,25000
APXM,11-Jan-2005,2.05,2.15,2.00,2.00,9500
APXM,12-Jan-2005,2.00,2.00,1.75,1.75,37500
APXM,13-Jan-2005,1.75,1.75,1.75,1.75,10000
APXM,14-Jan-2005,1.70,1.70,1.70,1.70,1000
APXM,17-Jan-2005,2.15,2.35,2.10,2.15,56500
APXM,18-Jan-2005,2.10,2.10,2.05,2.05,7500
APXM,19-Jan-2005,2.00,2.10,1.85,1.85,18500
APXM,25-Jan-2005,1.85,1.90,1.80,1.90,6500
APXM,26-Jan-2005,2.00,2.15,2.00,2.15,36000
APXM,27-Jan-2005,2.30,2.30,2.30,2.30,2000
APXM,02-Feb-2005,1.95,1.95,1.95,1.95,2000
APXM,03-Feb-2005,1.90,1.90,1.90,1.90,2000
APXM,08-Feb-2005,1.90,1.90,1.90,1.90,8000
APXM,15-Feb-2005,1.40,1.70,1.40,1.70,20500
APXM,18-Feb-2005,1.60,1.60,1.60,1.60,2000
APXM,21-Feb-2005,1.75,1.75,1.75,1.75,2000
APXM,25-Feb-2005,2.00,2.15,2.00,2.15,4000
APXM,01-Mar-2005,1.70,1.70,1.65,1.65,7000
APXM,02-Mar-2005,1.60,1.60,1.60,1.60,2000
APXM,03-Mar-2005,2.25,2.25,2.25,2.25,2000
APXM,04-Mar-2005,1.50,1.50,1.50,1.50,2500
APXM,07-Mar-2005,1.50,1.50,1.50,1.50,5000
APXM,08-Mar-2005,1.75,1.75,1.75,1.75,10000
APXM,10-Mar-2005,1.50,1.50,1.50,1.50,5000
APXM,17-May-2005,0.60,0.60,0.60,0.60,3000
APXM,18-May-2005,0.60,0.60,0.60,0.60,2000
APXM,30-May-2005,0.60,0.60,0.60,0.60,16500
APXM,11-Jul-2005,0.30,0.30,0.25,0.25,2000
APXM,13-Jul-2005,0.30,0.30,0.30,0.30,1500
APXM,14-Jul-2005,0.25,0.25,0.25,0.25,1000
APXM,15-Jul-2005,0.30,0.50,0.15,0.15,37500
